text,label
"Scientists discover a new species of deep-sea jellyfish that glows in the dark.",real
"Breaking: Government announces that chocolate will be mandatory for all citizens starting next month.",fake
"Study finds that drinking coffee may improve cognitive function in older adults.",real
"Local man claims he was abducted by aliens and given a recipe for the perfect pizza.",fake
"New research suggests that regular exercise can significantly reduce the risk of heart disease.",real
"Unbelievable: A cat in London has been elected as the new mayor after a landslide victory.",fake
"NASA's Mars rover finds evidence of ancient riverbeds on the red planet.",real
"Shocking: Experts say that sleeping with your phone can lead to immediate spontaneous combustion.",fake
"The global economy shows signs of recovery as trade volumes increase.",real
"Confirmed: Dinosaurs are still living in a secret underground world beneath Antarctica.",fake
